,precision,recall,f1-score,support
0,0.7455989284347493,0.9004043905257076,0.8157219867064427,8655.0
1,0.8104803493449781,0.6423627134287033,0.7166945552838203,4334.0
2,0.8838540814657287,0.7706461275139067,0.823377019201463,7011.0
accuracy,0.799,0.799,0.799,0.799
macro avg,0.8133111197484855,0.7711377438227726,0.7852645203972419,20000.0
weighted avg,0.8081240762410057,0.799,0.7969462139582898,20000.0
0,0.7438063597532036,0.9061054579093432,0.8169733618307877,8648.0
1,0.8220238095238095,0.6386127167630058,0.7188028627195836,4325.0
2,0.8864864864864865,0.770172192969973,0.8242461163569905,7027.0
accuracy,0.8005,0.8005,0.8005,0.8005
macro avg,0.8174388852544999,0.7716301225474407,0.7866741136357872,20000.0
weighted avg,0.8108515457938361,0.8005,0.7982992737007711,20000.0
0,0.7539326913909811,0.909697457724606,0.8245229903034095,8693.0
1,0.825037257824143,0.6485473289597001,0.7262232716778171,4268.0
2,0.8861273554256011,0.7749680352322773,0.8268283440697234,7039.0
accuracy,0.80655,0.80655,0.80655,0.80655
macro avg,0.8216991015469084,0.7777376073055278,0.79252486868365,20000.0
weighted avg,0.8156323178748024,0.80655,0.8043571996067623,20000.0
0,0.7552427463372594,0.9100034614053306,0.8254317111459969,8667.0
1,0.836818851251841,0.6582483781278962,0.7368694073401634,4316.0
2,0.8915936384290815,0.7829556790651275,0.8337506639350482,7017.0
accuracy,0.8111,0.8111,0.8111,0.8111
macro avg,0.8278850786727272,0.7837358395327847,0.7986839274737361,20000.0
weighted avg,0.8206855802682418,0.8111,0.8092386705707366,20000.0
0,0.7517155928326343,0.9101084698822987,0.8233636078922644,8666.0
1,0.826570483919447,0.6479736098020735,0.7264562145027077,4244.0
2,0.8873968613492962,0.7736248236953456,0.8266144224248361,7090.0
accuracy,0.8061,0.8061,0.8061,0.8061
macro avg,0.8218943127004592,0.777235634459906,0.7921447482732694,20000.0
weighted avg,0.8156988104104126,0.8061,0.8039522727667971,20000.0
0,0.7453169347209082,0.9085457271364318,0.8188763577776623,8671.0
1,0.8231671554252199,0.6506722299490032,0.7268254790264111,4314.0
2,0.8906976744186047,0.7643620812544547,0.8227080935941695,7015.0
accuracy,0.80235,0.80235,0.80235,0.80235
macro avg,0.8197272548549109,0.7745266794466299,0.7894699767994142,20000.0
weighted avg,0.8131015217757953,0.80235,0.8003649645686574,20000.0
0,0.7517811342262752,0.9101782633697527,0.8234314847570492,8695.0
1,0.828649138712602,0.6405045550105115,0.7225296442687748,4281.0
2,0.8857884490590525,0.7773348519362187,0.8280254777070064,7024.0
accuracy,0.8058,0.8058,0.8058,0.8058
macro avg,0.8220729073326433,0.7760058901054943,0.7913288689109436,20000.0
weighted avg,0.8152980995558448,0.8058,0.803446856124559,20000.0
0,0.7423433548749648,0.9105112004595061,0.8178722526055102,8705.0
1,0.8195511835229019,0.6253811869575416,0.7094199042043641,4263.0
2,0.8833607907742999,0.762514220705347,0.818500992214929,7032.0
accuracy,0.7977,0.7977,0.7977,0.7977
macro avg,0.8150851097240556,0.7661355360407983,0.7819310496749344,20000.0
weighted avg,0.8083819340134789,0.7977,0.7949766993904775,20000.0
0,0.7513333333333333,0.9114962449451184,0.8237013834507961,8655.0
1,0.8250737463126844,0.6471540953262378,0.7253630705394191,4322.0
2,0.890671031096563,0.7748825288338317,0.8287519987816949,7023.0
accuracy,0.8064,0.8064,0.8064,0.8064
macro avg,0.8223593702475269,0.7778442897017293,0.7926054842573033,20000.0
weighted avg,0.8161970691477293,0.8064,0.8042239976040926,20000.0
0,0.7533282616964625,0.9094248651130754,0.8240495137046862,8711.0
1,0.8263507656746605,0.6649616368286445,0.7369234733316156,4301.0
2,0.8932425701477669,0.7698912421293647,0.8269925447698102,6988.0
accuracy,0.8081,0.8081,0.8081,0.8081
macro avg,0.8243071991729632,0.7814259146903616,0.7959885106020373,20000.0
weighted avg,0.8179178105498597,0.8081,0.8063413537766116,20000.0
0,0.7506912003050815,0.9051615128175652,0.8207212841359183,8699.0
1,0.8244617224880383,0.6420586865393573,0.7219167321288296,4294.0
2,0.8822766336954759,0.7765092050806337,0.8260209503567634,7007.0
accuracy,0.8036,0.8036,0.8036,0.8036
macro avg,0.8191431854961987,0.774576468145852,0.7895529888738371,20000.0
weighted avg,0.8126306880060871,0.8036,0.8013646848804694,20000.0
0,0.7490073737946682,0.9125777470628887,0.8227414330218068,8682.0
1,0.8240381747688637,0.6385486480240351,0.71953125,4327.0
2,0.8958642280441589,0.7777142039765412,0.8326186830015314,6991.0
